dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
PermutedMNIST,global_seed,3,3000,0.9013333333333333,0.0,0.9093333333333333,0.15155555555555555,1.0,0.09066666666666667,0.9093333333333333,0.09066666666666667,0.9912023460410557,0.008,0.9773333333333334,1.0
PermutedMNIST,global_seed,4,3000,0.9043333333333333,0.0,0.911,0.15183333333333332,1.0,0.089,0.911,0.08899999999999997,0.9926820343944384,0.006666666666666667,0.9753333333333334,1.0
PermutedMNIST,stale_t0_seed,0,3000,0.8503333333333334,0.04966666666666664,0.8583333333333333,0.14305555555555557,1.0,0.14166666666666666,0.8583333333333333,0.14166666666666672,0.9906796116504855,0.008,0.9636666666666667,1.0
PermutedMNIST,stale_t0_seed,1,3000,0.827,0.07300000000000006,0.8383333333333334,0.13972222222222222,1.0,0.16166666666666665,0.8383333333333334,0.16166666666666663,0.9864811133200795,0.011333333333333334,0.96,1.0
PermutedMNIST,stale_t0_seed,2,3000,0.8943333333333333,0.005666666666666709,0.9046666666666666,0.1507777777777778,1.0,0.09533333333333334,0.9046666666666666,0.09533333333333338,0.9885777450257922,0.010333333333333333,0.977,1.0
PermutedMNIST,stale_t0_seed,3,3000,0.8543333333333333,0.045666666666666744,0.86,0.14333333333333334,1.0,0.14,0.86,0.14,0.9934108527131783,0.005666666666666667,0.9773333333333334,1.0
PermutedMNIST,stale_t0_seed,4,3000,0.714,0.18600000000000005,0.7163333333333334,0.11938888888888888,1.0,0.2836666666666667,0.7163333333333334,0.2836666666666666,0.996742671009772,0.0023333333333333335,0.9753333333333334,1.0
PermutedMNIST,oracle_task,0,3000,0.9066666666666666,0.0,0.925,0.15416666666666667,1.0,0.075,0.925,0.07499999999999996,0.9801801801801802,0.018333333333333333,0.9636666666666667,1.0
PermutedMNIST,oracle_task,1,3000,0.905,0.0,0.9343333333333333,0.15572222222222223,1.0,0.06866666666666667,0.9283333333333333,0.07166666666666666,0.9716337522441651,0.026333333333333334,0.96,1.0
PermutedMNIST,oracle_task,2,3000,0.896,0.0040000000000000036,0.9066666666666666,0.1511111111111111,1.0,0.09333333333333334,0.9066666666666666,0.09333333333333338,0.9882352941176471,0.010666666666666666,0.977,1.0
PermutedMNIST,oracle_task,3,3000,0.8976666666666666,0.0023333333333334094,0.906,0.151,1.0,0.094,0.906,0.09399999999999997,0.9908020603384842,0.008333333333333333,0.9773333333333334,1.0
PermutedMNIST,oracle_task,4,3000,0.909,0.0,0.9183333333333333,0.15305555555555556,1.0,0.08166666666666667,0.9183333333333333,0.08166666666666667,0.9898366606170599,0.009333333333333334,0.9753333333333334,1.0
PermutedMNIST,inferred_bucket,0,3000,0.9066666666666666,0.0,0.925,0.15416666666666667,1.0,0.075,0.925,0.07499999999999996,0.9801801801801802,0.018333333333333333,0.9636666666666667,1.0
PermutedMNIST,inferred_bucket,1,3000,0.905,0.0,0.9343333333333333,0.15572222222222223,1.0,0.06866666666666667,0.9283333333333333,0.07166666666666666,0.9716337522441651,0.026333333333333334,0.96,1.0
PermutedMNIST,inferred_bucket,2,3000,0.896,0.0040000000000000036,0.9066666666666666,0.1511111111111111,1.0,0.09333333333333334,0.9066666666666666,0.09333333333333338,0.9882352941176471,0.010666666666666666,0.977,1.0
PermutedMNIST,inferred_bucket,3,3000,0.8976666666666666,0.0023333333333334094,0.906,0.151,1.0,0.094,0.906,0.09399999999999997,0.9908020603384842,0.008333333333333333,0.9773333333333334,1.0
PermutedMNIST,inferred_bucket,4,3000,0.909,0.0,0.9183333333333333,0.15305555555555556,1.0,0.08166666666666667,0.9183333333333333,0.08166666666666667,0.9898366606170599,0.009333333333333334,0.9753333333333334,1.0
PermutedMNIST,oracle_qhat_selected_by_inferred_context,0,3000,0.9066666666666666,0.0,0.925,0.15416666666666667,1.0,0.075,0.925,0.07499999999999996,0.9801801801801802,0.018333333333333333,0.9636666666666667,1.0
PermutedMNIST,oracle_qhat_selected_by_inferred_context,1,3000,0.905,0.0,0.9343333333333333,0.15572222222222223,1.0,0.06866666666666667,0.9283333333333333,0.07166666666666666,0.9716337522441651,0.026333333333333334,0.96,1.0
PermutedMNIST,oracle_qhat_selected_by_inferred_context,2,3000,0.896,0.0040000000000000036,0.9066666666666666,0.1511111111111111,1.0,0.09333333333333334,0.9066666666666666,0.09333333333333338,0.9882352941176471,0.010666666666666666,0.977,1.0
PermutedMNIST,oracle_qhat_selected_by_inferred_context,3,3000,0.8976666666666666,0.0023333333333334094,0.906,0.151,1.0,0.094,0.906,0.09399999999999997,0.9908020603384842,0.008333333333333333,0.9773333333333334,1.0
PermutedMNIST,oracle_qhat_selected_by_inferred_context,4,3000,0.909,0.0,0.9183333333333333,0.15305555555555556,1.0,0.08166666666666667,0.9183333333333333,0.08166666666666667,0.9898366606170599,0.009333333333333334,0.9753333333333334,1.0
RotatedMNIST,global_seed,0,3000,0.8823333333333333,0.01766666666666672,0.8926666666666667,0.1487777777777778,1.0,0.10733333333333334,0.8926666666666667,0.10733333333333328,0.9884241971620612,0.010333333333333333,0.9666666666666667,1.0
RotatedMNIST,global_seed,1,3000,0.917,0.0,0.9296666666666666,0.15494444444444447,1.0,0.07033333333333333,0.9296666666666666,0.07033333333333336,0.9863750448189316,0.012666666666666666,0.9646666666666667,1.0
RotatedMNIST,global_seed,2,3000,0.902,0.0,0.9126666666666666,0.1521111111111111,1.0,0.08733333333333333,0.9126666666666666,0.08733333333333337,0.9883126369612856,0.010666666666666666,0.9696666666666667,1.0
RotatedMNIST,global_seed,3,3000,0.9006666666666666,0.0,0.9116666666666666,0.15194444444444447,1.0,0.08833333333333333,0.9116666666666666,0.08833333333333337,0.9879341864716636,0.011,0.9686666666666667,1.0
